"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.125438011E1,6.502711123E1,2.548495684E1,1.273226980E1,1.726354012E0,3.476682740E2,2.389781672E0,3.435059303E0
9.225436842E1,6.502712442E1,2.548495508E1,1.283180798E1,1.738267994E0,3.504861145E2,2.406365066E0,3.395748360E0
9.325435615E1,6.502713716E1,2.548496385E1,1.272910336E1,1.669674496E0,3.592904652E2,2.398892224E0,3.441599838E0
9.425434518E1,6.502714677E1,2.548499945E1,1.214274963E1,1.700167736E0,2.904764871E1,2.417699572E0,3.426003090E0
9.525433338E1,6.502714317E1,2.548504965E1,1.211711827E1,1.735132999E0,7.149589134E1,2.400082783E0,3.229908211E0
9.625432038E1,6.502713678E1,2.548508790E1,1.237109822E1,1.757651704E0,9.352035161E1,2.380078699E0,3.302000360E0
9.725430906E1,6.502713454E1,2.548511875E1,1.210113151E1,1.736692358E0,9.513386749E1,2.363891163E0,3.242782439E0
9.825429678E1,6.502713817E1,2.548515122E1,1.220856845E1,1.747353145E0,8.312543106E1,2.345696567E0,3.257967733E0
9.925428534E1,6.502713630E1,2.548517151E1,1.168958047E1,1.264871421E0,8.531266194E1,2.345772234E0,3.190783117E0
1.002542779E2,6.502713485E1,2.548519393E1,1.112868543E1,1.130763570E0,8.849482537E1,2.328483632E0,3.000000000E0
1.012542597E2,6.502713205E1,2.548522094E1,1.073277507E1,1.220246351E0,9.440312182E1,2.312059451E0,3.000000000E0
1.022542484E2,6.502712938E1,2.548524192E1,1.003925654E1,1.124215894E0,9.885771285E1,2.296456479E0,3.000000000E0
1.032542353E2,6.502713197E1,2.548528454E1,1.023148431E1,1.396834870E0,8.921361446E1,2.281633642E0,3.000000000E0
1.042542235E2,6.502713661E1,2.548530771E1,1.042084546E1,1.207974690E0,7.919922358E1,2.267551941E0,3.000000000E0
1.052542115E2,6.502713835E1,2.548533845E1,1.053790623E1,1.236480842E0,8.138098615E1,2.263535584E0,3.000000000E0
1.062541986E2,6.502713891E1,2.548536880E1,1.067642980E1,1.270336788E0,8.415756897E1,2.250358806E0,3.000000000E0
1.072541863E2,6.502713989E1,2.548539700E1,1.055182342E1,1.233632821E0,8.580287170E1,2.280762132E0,3.000000000E0
1.082541738E2,6.502714155E1,2.548542187E1,1.054657261E1,1.152368159E0,8.552458904E1,2.292147227E0,3.000000000E0
1.092541611E2,6.502714219E1,2.548545867E1,1.016569491E1,1.368725978E0,8.793106722E1,2.285065977E0,3.000000000E0
1.102541487E2,6.502714374E1,2.548548792E1,1.013942784E1,1.278761331E0,8.446913089E1,2.305158169E0,3.000000000E0
1.112541362E2,6.502714522E1,2.548551296E1,9.958986904E0,1.132091125E0,8.075390700E1,2.315544168E0,3.000000000E0
1.122541234E2,6.502714538E1,2.548554014E1,9.761873773E0,1.102447967E0,8.142649447E1,2.323382096E0,3.000000000E0
1.132541108E2,6.502714442E1,2.548557067E1,9.554788616E0,1.098482463E0,8.294084647E1,2.384631666E0,3.000000000E0
1.142540983E2,6.502714517E1,2.548559453E1,9.756234209E0,9.976025864E-1,7.989520516E1,2.401283385E0,3.000000000E0
1.152540855E2,6.502714376E1,2.548562781E1,9.614429899E0,1.072293189E0,8.347432645E1,2.440147304E0,3.000000000E0
1.162540730E2,6.502714705E1,2.548566110E1,9.486533644E0,1.167091045E0,7.573815238E1,2.483847293E0,3.000000000E0
1.172540606E2,6.502714758E1,2.548570015E1,1.005018114E1,1.344480253E0,8.301175983E1,2.506575870E0,3.000000000E0
