"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.028540875E0,5.482081520E-1,-9.607560039E-2,-4.279226303E-1
2.038531875E0,4.278807862E-1,4.210287631E-2,-7.015594590E-1
2.048523875E0,2.975819077E-1,1.423984122E-1,-1.012369376E0
2.058515750E0,1.798149279E-1,1.153380829E-1,-1.110465775E0
2.068507750E0,2.081296312E-1,6.497601449E-2,-8.542419541E-1
2.078498750E0,4.256140034E-1,1.937591851E-1,-4.434235990E-1
2.088489750E0,7.107083049E-1,3.401161623E-1,-1.037319446E-1
2.098481750E0,8.072272705E-1,3.540237647E-1,9.162294567E-2
2.108472750E0,6.957195523E-1,2.480102366E-1,1.722700828E-1
2.118463750E0,3.776032100E-1,2.001589626E-1,1.478778380E-1
2.128455750E0,2.767461221E-1,1.741558099E-1,-7.072908998E-2
2.138446750E0,3.318716248E-1,1.081419146E-1,-2.709915483E-1
2.148437750E0,2.725397814E-1,1.006253189E-1,-2.814270741E-1
2.158429750E0,2.063032534E-1,2.118270814E-2,-1.416452909E-1
2.168420750E0,1.737815515E-1,-9.307539403E-2,3.344958186E-2
2.178411750E0,2.878613867E-1,-1.880084485E-1,2.735473663E-1
2.188403750E0,3.818809599E-1,-1.794422776E-1,5.498464322E-1
2.198394750E0,4.014861258E-1,-4.217889011E-2,4.546385586E-1
2.208385750E0,5.236609194E-1,1.308869988E-1,-1.108398199E-2
2.218377750E0,5.889026533E-1,1.950572670E-1,-4.381143272E-1
2.228368750E0,3.763942982E-1,1.986275768E-1,-6.148961216E-1
2.238359750E0,8.009768162E-2,1.369885683E-2,-7.575746155E-1
2.248351750E0,-2.086669537E-1,-1.727337670E-1,-9.288091564E-1
2.258342750E0,-2.828779875E-1,-2.146010005E-1,-9.874479586E-1
2.268333750E0,-2.511849824E-1,-2.232133645E-1,-8.746914214E-1
2.278325750E0,-1.203173159E-1,-1.895889509E-1,-6.406074983E-1
2.288316750E0,-5.088550385E-2,-2.422209084E-1,-3.617040825E-1
2.298307750E0,-7.531909944E-2,-4.031561637E-1,-1.204058647E-2
2.308299750E0,-2.292349916E-1,-5.419626313E-1,2.498795915E-1
2.318290750E0,-4.150696829E-1,-5.551785082E-1,3.935831022E-1
2.328282750E0,-4.313344806E-1,-4.947592288E-1,4.506864256E-1
2.338273750E0,-2.671759843E-1,-3.691423255E-1,4.426710624E-1
2.348264750E0,-1.374743440E-1,-1.651405728E-1,3.250940806E-1
2.358256750E0,-1.454250590E-1,2.272578835E-2,2.002145112E-1
2.368247750E0,-3.059492733E-1,1.330142158E-1,9.922257185E-2
2.378238750E0,-3.904197586E-1,1.317652506E-1,-1.567287683E-2
2.388230750E0,-2.097912819E-1,1.059129560E-1,-1.207923657E-1
2.398221750E0,2.789819878E-2,2.941582167E-1,-1.536648273E-1
2.408212750E0,2.237779680E-1,3.873499703E-1,-1.239603871E-1
2.418204750E0,3.197065292E-1,3.654275894E-1,-8.066526353E-2
2.428195750E0,2.470585657E-1,3.390578163E-1,-4.434762239E-2
2.438186750E0,1.616996326E-1,2.614570785E-1,6.696114421E-2
2.448178750E0,5.380316396E-2,2.176228416E-1,2.076814055E-1
2.458169750E0,-9.892183310E-2,2.191244066E-1,1.946655035E-1
2.468160750E0,-1.008050568E-1,2.316146439E-1,6.177583337E-2
2.478152750E0,5.074876123E-2,3.043306178E-1,3.312564611E-2
2.488143750E0,1.672766886E-1,3.826002771E-1,7.627634346E-2
2.498134750E0,2.052429704E-1,4.087209588E-1,1.518241239E-1
2.508126750E0,1.697424960E-1,3.183960950E-1,2.240027386E-1
2.518117750E0,1.260990062E-1,2.163984346E-1,3.636933053E-1
2.528108750E0,1.367278008E-1,1.047388351E-1,5.192222250E-1
2.538100750E0,1.968227972E-1,-9.186560512E-3,5.814734370E-1
2.548091750E0,2.404781092E-1,3.418282270E-3,4.052383572E-1
2.558082750E0,3.203019584E-1,9.636445284E-2,3.728652477E-2
2.568074750E0,3.174909095E-1,1.561703593E-1,-3.704485935E-1
2.578065750E0,2.267101822E-1,1.958881563E-1,-5.612759846E-1
2.588057750E0,1.189644530E-1,1.649698341E-1,-4.268081510E-1
2.598048750E0,5.457814844E-2,9.686146617E-2,-1.881557983E-1
2.608039750E0,-7.023929430E-2,1.896076620E-2,1.705866694E-2
2.618031750E0,-5.603743988E-2,-8.985767126E-2,1.272476918E-1
2.628022750E0,-4.504786301E-2,-1.471983916E-1,1.624771661E-1
2.638013750E0,-5.032064455E-2,-7.299254715E-2,4.079251528E-2
2.648005750E0,-7.458399480E-2,1.137926638E-2,-1.422247499E-1
2.657996750E0,-8.165680513E-2,6.368670344E-2,-3.481274325E-1
2.667987750E0,-8.294286367E-2,1.570176208E-1,-4.976869297E-1
2.677979750E0,-5.740445495E-2,1.411482775E-1,-4.771322125E-1
2.687970750E0,-6.944919842E-2,1.094914520E-1,-3.571993876E-1
2.697961750E0,-1.803178981E-2,5.114559531E-2,-1.593752182E-1
2.707953750E0,6.916542574E-2,-1.181318825E-1,1.309483945E-2
2.717944750E0,3.417905856E-2,-2.068768287E-1,-6.817853451E-4
2.727935750E0,-7.688538579E-2,-1.637536132E-1,-1.310179764E-1
2.737927750E0,-1.144536185E-1,-1.073022544E-1,-2.612413162E-1
2.747918750E0,-8.400745891E-2,-3.408575892E-2,-4.230337733E-1
2.757909750E0,-6.092034917E-2,6.960291624E-2,-5.714939940E-1
2.767901750E0,-1.085397628E-1,5.464456916E-2,-5.506463313E-1
2.777892750E0,-8.378002049E-2,-2.005068719E-2,-3.505914491E-1
2.787883750E0,-8.457918869E-2,-8.749013364E-2,-1.255204242E-1
2.797875750E0,-1.235872799E-1,-1.859478897E-1,7.175703049E-2
2.807866750E0,-6.531877097E-2,-2.585568595E-1,1.422113013E-1
2.817857750E0,-7.788321314E-2,-2.474144053E-1,-4.122287035E-4
2.827849750E0,-5.693645842E-2,-2.433283710E-1,-3.567327797E-2
2.837840750E0,-3.190489367E-2,-1.701609921E-1,-1.877821612E-1
2.847831750E0,1.946167158E-2,-8.862098515E-2,-2.917327917E-1
2.857823750E0,7.594288772E-2,-6.456261635E-2,-2.245482838E-1
2.867814750E0,5.775092075E-2,-4.051535726E-2,4.289517403E-3
2.877805750E0,3.810188245E-2,-8.623239756E-2,7.790362358E-2
2.887797750E0,4.716587070E-2,-1.132477033E-1,8.227383256E-2
2.897788750E0,4.306549245E-2,-1.614024478E-1,8.337603271E-2
2.907779750E0,3.242584404E-2,-1.544705737E-1,1.595675915E-1
2.917771750E0,4.005180096E-2,-1.149732167E-1,1.184669280E-1
2.927762750E0,-9.602516815E-3,-5.976029813E-2,-1.581818014E-1
2.937753750E0,-1.653172318E-3,-1.580853224E-2,-3.935012412E-1
2.947745750E0,5.053271575E-2,-2.128971219E-3,-4.518143535E-1
2.957736750E0,1.320378953E-1,-1.427831590E-2,-4.123468173E-1
2.967728750E0,2.414461341E-1,-4.993989944E-2,-1.869980496E-1
2.977719750E0,3.003602670E-1,-7.281771541E-2,4.005810499E-2
2.987710750E0,2.889034702E-1,-1.149977750E-1,1.941421777E-1
2.997702750E0,2.610187748E-1,-1.438496912E-1,3.138826293E-1
3.007693750E0,1.904165694E-1,-1.295906711E-1,4.548122209E-1
3.017684750E0,1.582555677E-1,-1.313933676E-1,4.137904948E-1
3.027676750E0,1.037029826E-1,7.968585491E-3,2.019441175E-1
3.037667750E0,4.397811491E-2,1.120069242E-1,-1.768876290E-1
3.047658750E0,5.685262397E-2,1.357448655E-1,-3.092434484E-1
3.057650000E0,-1.682492450E-2,1.407278627E-1,-3.073319936E-1
3.067641000E0,-3.978432739E-2,8.519334733E-2,-2.528990936E-1
3.077632000E0,1.454684928E-2,3.155800760E-2,7.280952930E-3
3.087624000E0,1.385979231E-1,1.631548584E-2,2.954270625E-1
3.097615000E0,1.737404566E-1,9.289471507E-3,4.102190155E-1
3.107606000E0,1.517499739E-1,-2.919163942E-2,3.339426720E-1
3.117598000E0,5.570996840E-2,-2.675627410E-2,1.829739958E-1
3.127589000E0,-3.737363001E-2,1.211660028E-2,1.485181081E-1
3.137580000E0,-2.719938342E-2,3.254267871E-2,9.439803421E-2
3.147572000E0,-2.911843959E-2,-8.359764218E-3,5.033984900E-2
3.157563000E0,-3.250172993E-2,-4.545742393E-2,-2.190074623E-2
3.167554000E0,-1.051643114E-1,-9.074644804E-2,-8.795206368E-2
3.177546000E0,-9.645048000E-2,-1.448554122E-1,-1.049183446E-1
3.187537000E0,1.670825427E-2,-1.163666081E-1,-4.624796748E-2
3.197528000E0,6.548130529E-2,-6.838611066E-2,2.215100706E-2
3.207520000E0,1.631197202E-1,-4.536094487E-2,7.450931489E-2
3.217511000E0,2.315336965E-1,1.420639515E-2,1.479930282E-1
3.227502000E0,1.765502812E-1,3.475760400E-2,2.317122924E-1
3.237494000E0,1.798504863E-2,-5.840608299E-2,1.912454671E-1
3.247485000E0,-1.322087801E-1,-1.106825298E-1,1.666778058E-1
3.257476000E0,-1.513869349E-1,-1.134868544E-1,1.046464491E-1
3.267468000E0,-1.388792655E-1,-1.429883963E-1,-6.021404207E-2
3.277459000E0,-1.627214335E-2,-1.136301112E-1,-1.690196157E-1
3.287450000E0,1.510451103E-1,-6.364343405E-2,-1.669263124E-1
3.297442000E0,2.387026022E-1,-2.347598612E-2,-1.232230532E-1
3.307433000E0,2.620649331E-1,-1.067292273E-2,-1.276610899E-1
3.317425000E0,1.367048139E-1,-2.306083381E-2,-2.708781123E-2
3.327416000E0,-1.057489051E-2,-7.116236866E-2,2.460274458E-2
3.337407000E0,-1.732212604E-1,-1.032565659E-1,-2.081257939E-2
3.347399000E0,-1.839830790E-1,-1.163467276E-1,-3.910559356E-2
3.357390000E0,-1.372379429E-1,-6.730145216E-2,7.967649937E-2
3.367381000E0,-3.375169105E-2,-2.705506682E-2,8.179786921E-2
3.377373000E0,9.637449360E-2,1.432918668E-2,6.014913797E-2
3.387364000E0,1.392835182E-1,3.143229246E-2,3.229768038E-2
3.397355000E0,1.073286309E-1,7.801355124E-3,-2.948049188E-2
3.407347000E0,-1.255640225E-2,-1.200959623E-2,-1.153807676E-1
3.417338000E0,-9.578376951E-2,-6.035495996E-2,-8.432737470E-2
3.427329000E0,-1.437913469E-1,-6.489941597E-2,9.940851331E-3
3.437321000E0,-1.590284965E-1,-6.833933294E-2,1.153936315E-1
3.447312000E0,-1.170585987E-1,-7.489815474E-2,1.584291387E-1
3.457303000E0,-3.029035865E-2,-3.035348117E-2,1.090610969E-1
3.467295000E0,5.540943065E-2,7.020985723E-2,-7.187163591E-2
3.477286000E0,1.373815834E-1,1.523263997E-1,-2.612103260E-1
3.487277000E0,1.376323467E-1,1.516972393E-1,-2.919538164E-1
3.497269000E0,-2.000084882E-2,9.955177009E-2,-2.471109349E-1
3.507260000E0,-1.717509597E-1,-8.758544326E-3,-1.673958439E-1
3.517251000E0,-2.299691278E-1,-6.769321561E-2,-3.203338623E-2
3.527243000E0,-1.605903609E-1,-4.758113265E-2,7.384916425E-2
3.537234000E0,-1.595677012E-1,1.649441063E-2,2.898464799E-2
3.547225000E0,-1.038438822E-1,1.881049275E-3,-1.116373801E-1
3.557217000E0,-1.192976164E-1,1.888767600E-2,-2.105038565E-1
3.567208000E0,-1.155576093E-1,-5.006619930E-2,-1.665936059E-1
3.577199000E0,-1.133745513E-1,-7.943968713E-2,-8.268547654E-2
3.587191000E0,-1.226475867E-1,-1.175033069E-1,-1.211601555E-2
3.597182000E0,-1.630219621E-1,-1.298444402E-1,4.352959692E-2
3.607173000E0,-1.416289369E-1,-1.418867809E-1,5.469017744E-2
3.617165000E0,-9.409776142E-2,-1.169367117E-1,1.003820747E-1
3.627156000E0,-8.873749092E-2,-9.287775815E-2,1.316062063E-1
3.637147000E0,-1.049699828E-1,-9.620365441E-2,8.812514126E-2
3.647139000E0,-1.941366777E-1,-9.754851401E-2,-1.247795820E-3
3.657130000E0,-2.031297319E-1,-1.157327700E-1,-5.421479881E-2
3.667121000E0,-1.801284483E-1,-1.013784403E-1,-1.271979904E-1
3.677113000E0,-9.267431159E-2,-1.001668972E-1,-1.728682530E-1
3.687104000E0,-1.002788165E-1,-8.635518909E-2,-2.350680095E-1
3.697095000E0,-1.232363922E-1,-6.989235342E-2,-3.306612146E-1
3.707087000E0,-1.737149298E-2,-5.302605987E-2,-3.227727360E-1
3.717078000E0,5.283366820E-2,-3.358757615E-2,-2.789998949E-1
3.727069000E0,9.461323002E-2,5.315119028E-4,-2.664956242E-1
3.737061000E0,7.239100571E-2,-2.457935572E-2,-8.989509344E-2
3.747052000E0,-4.441439942E-2,-6.593963563E-2,-4.332786798E-4
3.757043000E0,-1.256588845E-1,-9.601128101E-2,-7.110623538E-2
3.767035000E0,-1.592716859E-1,-9.232811987E-2,-1.363284177E-1
3.777026000E0,-1.166587405E-1,-5.203261793E-2,-1.040213817E-1
3.787017000E0,-4.755423089E-2,-4.497970641E-2,3.468977630E-2
3.797009000E0,6.397026143E-2,-4.406987965E-2,1.170899087E-1
3.807000000E0,2.076515299E-1,-4.176958501E-2,1.196609294E-1
